State, PC No. ,PC Name ,Category ,Winner,Gender,Party,Vote,Runner Up,Gender,Party,Vote
Bihar,3,Purvi Champaran,GEN,Radha Mohan Singh,M,BJP,201114,Akhilesh Prasad Singh,M,RJD,121824
Bihar,4,Sheohar,GEN,Smt. Rama Devi,F,BJP,233499,Md. Anwarul Haque,M,BSP,107815
Bihar,5,Sitamarhi,GEN,Dr. Arjun Roy,M,JD(U),232782,Samir Kumar Mahaseth,M,INC,122216
Bihar,6,Madhubani,GEN,Hukmdev Narayan Yadav,M,BJP,164094,Abdulbari Siddiki,M,RJD,154167
Bihar,7,Jhanjharpur,GEN,Mangani Lal Mandal,M,JD(U),265175,Devendra Prasad Yadav,M,RJD,192466
Bihar,8,Supaul,GEN,Vishwa Mohan Kumar,M,JD(U),313677,Ranjeet Ranjan,M,INC,147602
Bihar,9,Araria,GEN,Pradeep Kumar Singh,M,BJP,282742,Zakir Hussain Khan,M,LJP,260240
Bihar,10,Kishanganj,GEN,Maulana Asrarul Haque Mohammad ,M,INC,239405,Syed Mahmood Ashraf,M,JD(U),159136
Bihar,11,Katihar,GEN,Nikhil Kumar Choudhary,M,BJP,269834,Harish Choudhar,M,NCP,255819
Bihar,12,Purnia,GEN,Uday Singh,M,BJP,362952,Shanti Priya,M,IND,176725
Bihar,13,Madhepura,GEN,Sharad Yadav,M,JD(U),370585,Prof. Ravindra Charan Yadav,M,RJD,192964
Bihar,14,Darbhanga,GEN,Kirti Jha Azad,M,BJP,239268,Md. Ali Ashraf Fatmi,M,RJD,192815
Bihar,15,Muzaffarpur,GEN,Capt.(Retd.) Jainarain Prasad Nishad ,M,JD(U),195091,Bhagwanlal Sahni,M,LJP,147282
Bihar,16,Vaishali,GEN,Dr. Raghuvansh Prasad Singh,M,RJD,284479,Vijay Kumar Shukla,M,JD(U),262171
Bihar,17,Gopalganj,(SC),Purnmasi Ram,M,JD(U),200024,Anil Kumar,M,RJD,157552
Bihar,18,Siwan,GEN,Om Prakash Yadav,M,IND,236194,Hena Shahab,M,RJD,172764
Bihar,19,Maharajganj,GEN,Uma Shanaker Singh,M,RJD,211610,Prabhunath Singh ,M,JD(U),208813
Bihar,<b>By Polls (2013)</b>,Maharajganj,GEN,Prabhu Nath Singh,M,RJD,381452,Prashant Kumar Shahi,M,JD(U),244326
Bihar,20,Saran,GEN,Lalu Prasad,M,RJD,274209,Rajiv Pratap Rudy,M,BJP,222394
Bihar,21,Hajipur,(SC),Ram Sundar Das,M,JD(U),246715,Ram Vilas Paswan,M,LJP,208761
Bihar,22,Ujiarpur,GEN,Smt. Ashwamedh Devi,F,JD(U),180082,Alok Kumar Mehta,M,RJD,154770
Bihar,23,Samastipur,(SC),Maheshwar Hazari,M,JD(U),259458,Ram Chandra Paswan,M,LJP,155082
Bihar,24,Begusarai,GEN,Dr. Monazir Hassan,M,JD(U),205680,Shatrughna Prasad Singh,M,CPI,164843
Bihar,25,Khagaria,GEN,Dinesh Chandra Yadav,M,JD(U),266964,Ravindar Kr. Rana,M,RJD,128209
Bihar,26,Bhagalpur,GEN,Syed Shahnawaz Hussain,M,BJP,228384,Shakuni Choudhary,M,RJD,172573
Bihar,27,Banka,GEN,Digvijay Singh,M,IND,185762,Jai Prakash Narayan,M,RJD,157046
Bihar,<b>By Polls (2010)</b>,Banka,GEN,Putul Kumari,F,IND,288958,Jai Prakash Narayan,M,RJD,219839
Bihar,28,Munger,GEN,Rajiv Ranjan (Lalan) Singh,M,JD(U),374317,Ram Badan Roy,M,RJD,184956
Bihar,29,Nalanda,GEN,Kaushalendra Kumar,M,JD(U),299155,Satish Kumar,M,LJP,146478
Bihar,30,Patna Sahib,GEN,Shatrughan Prasad Sinha,M,BJP,316549,Vijay Kumar,M,RJD,149779
Bihar,31,Pataliputra,GEN,Prof. Ranjan Prasad Yadav,M,JD(U),269298,Lalu Prasad,M,RJD,245757
Bihar,32,Arrah,GEN,Smt. Meena Singh,F,JD(U),212726,Rama Kishore Singh,M,LJP,138006
Bihar,33,Buxar,GEN,Jagadanand Singh,M,RJD,132614,Lal Muni Choubey,M,BJP,130376
Bihar,34,Sasaram,(SC),Smt. Meira Kumar,F,INC,192213,Muni Lal,M,BJP,149259
Bihar,35,Karakat,GEN,Mahabali Singh,M,JD(U),196946,Kanti Singh,M,RJD,176463
Bihar,36,Jahanabad,GEN,Jagdish Sharma,M,JD(U),234769,Surendra Prasad Yadav,M,RJD,213442
Bihar,37,Aurangabad,GEN,Sushil Kumar Singh,M,JD(U),260153,Shakil Ahmad Khan,M,RJD,188095
Bihar,38,Gaya,(SC),Hari Manjhi,M,BJP,246255,Ramji Manjhi,M,RJD,183802
Bihar,39,Nawada,GEN,Dr. Bhola Singh,M,BJP,130608,Veena Devi,F,LJP,95691
Bihar,40,Jamui,(SC),Bhudeo Choudhary,M,JD(U),178560,Shyam Rajak,M,RJD,148763
Chhattisgarh,1,Surguja,(ST),Murarilal Singh,M,BJP,416532,Bhanu Pratap Singh,M,INC,256983
Chhattisgarh,2,Raigarh,(ST),Vishnu Deo Sai,M,BJP,443948,Hridayaram Rathiya,M,INC,149111
Chhattisgarh,3,Janjgir-Champa,(SC),Smt. Kamla Devi Patle,F,BJP,302142,Dr.Shivkumar Dahariya,M,INC,214931
Chhattisgarh,4,Korba,GEN,Dr. Charan Das Mahant,M,INC,314616,Karuna Shukla,M,BJP,273216
Chhattisgarh,5,Bilaspur,GEN,Dilip Singh Judeo,M,BJP,347930,Dr.Renu Jogi,F,INC,214931
Chhattisgarh,6,Rajnandgaon,GEN,Madhusudan Yadav,M,BJP,437721,Devwrat Singh,M,INC,321843
Chhattisgarh,7,Durg,GEN,Km. Saroj Pandey,F,BJP,283170,Pradeep Choubey,M,INC,273216
Chhattisgarh,8,Raipur,GEN,Ramesh Bais,M,BJP,364943,Bhupesh Baghel,M,INC,319726
Chhattisgarh,9,Mahasamund,GEN,Chandu Lal Sahu,M,BJP,371201,Motilal Sahu,M,INC,319726
Chhattisgarh,10,Bastar,(ST),Baliram Kashyap,M,BJP,249373,Shankar Sodi,M,INC,149111
Chhattisgarh,<b>By Polls (2011)</b>,Bastar,(ST),Dinesh Kashyap,M,BJP,286691,Kawasi Lakhma,M,INC,197807
Chhattisgarh,11,Kanker,(ST),Sohan Potai,M,BJP,341131,Smt. Phoolo Devi Netam,F,INC,318647
Chandigarh,1,Chandigarh,GEN,Pawan Kumar Bansal,M,INC,161042,Satya Pal Jain,M,BJP,102075
Dadra And Nagar Haveli ,1,Dadra And Nagar Haveli,(ST),Natubhai Gomanbhai Patel,M,BJP,51242,Delkar Mohanbhai Sanjibhai,M,INC,50624
Daman And Diu ,1,Daman And Diu,GEN,Lalubhai Babubhai Patel,M,BJP,44546,Dahyabhai Vallabhbhai Patel,M,INC,19708
Delhi,1,Chandni Chowk,GEN,Kapil Sibal,M,INC,465713,Vijender Gupta,M,BJP,265003
Delhi,2,North East Delhi,GEN,Jai Prakash Agarwal,M,INC,518191,B.L.Sharma Prem,M,BJP,295948
Delhi,3,East Delhi,GEN,Sandeep Dikshit,M,INC,518001,Chetan Chauhan,M,BJP,276948
Delhi,4,New Delhi,GEN,Ajay Maken,M,INC,455867,Vijay Goel,M,BJP,268058
Delhi,5,North West Delhi,(SC),Smt. Krishna Tirath,F,INC,487404,Meera Kanwaria,M,BJP,295948
Delhi,6,West Delhi,GEN,Mahabal Mishra,M,INC,479899,Prof. Jagdish Mukhi,M,BJP,302971
Delhi,7,South Delhi,GEN,Ramesh Kumar,M,INC,360278,Ramesh Bidhuri,M,BJP,267059
Goa,1,North Goa,GEN,Shripad Yesso Naik,M,BJP,137716,Jitendra Raghuraj Deshprabhu,M,NCP,131363
Goa,2,South Goa,GEN,Francisco Sardinha,M,INC,127494,Adv. Narendra Keshav Sawaikar,M,BJP,114978
Gujarat,1,Kutch,(SC),Smt. Poonam Veljibhai Jat,F,BJP,285300,Danicha Valjibhai Punamchandra,M,INC,213957
Gujarat,2,Banaskantha,GEN,Mukeshkumar  Bheiravdanji Gadhvi,M,INC,289409,Chaudhary Haribhai,M,BJP,279108
Gujarat,<b>By Polls (2013)</b>,Banaskantha,GEN,Chaudhary Haribhai Parthibhai,M,BJP,377988,Gadhvi Krishnaben Mukeshkumar,F,INC,236011
Gujarat,3,Patan,GEN,Jagdish Thakor,M,INC,283778,Rathod Bhavsinhbhai Dahyabhai,M,BJP,265274
Gujarat,4,Mehsana,GEN,Smt. Jayshreeben Patel,F,BJP,334631,Patel Jivabhai Ambalal,M,INC,312766
Gujarat,5,Sabarkantha,GEN,Dr. Mahendrasinh Pruthvisinh Chauhan,M,BJP,337432,Mistry Madhusudan,M,INC,320272
Gujarat,6,Gandhinagar,GEN,Lal Krishna Advani,M,BJP,434044,Patel Sureshkumar Chaturdas,M,INC,312297
